data_mode,model,metric,mean,median,std,min,max,count
versioned,TimesFM,wis,0.21629310090994014,0.22773468494415283,0.06377153645748007,0.11488573253154755,0.3412930369377136,29
versioned,TimesFM,mae,0.37830785122411004,0.3926648795604706,0.10317305770149902,0.1950623095035553,0.610005259513855,29
versioned,TimesFM,rmse,0.3783078579425872,0.3926648946510533,0.10317306246514293,0.1950623113977707,0.6100052804922906,29
versioned,TimesFM,mse,0.5210457644585905,0.36992114782333374,0.38151182829754526,0.1414094716310501,1.8169631958007812,29
versioned,TimesFM,int_cov90,0.8325540619520748,0.847457627118644,0.05106918828118162,0.7076271186440678,0.9067796610169492,29
versioned,TimesFM,int_cov80,0.81531268264173,0.826271186440678,0.0525408746928103,0.690677966101695,0.902542372881356,29
versioned,TimesFM,int_cov70,0.7488310929281121,0.7584745762711864,0.05547792895259501,0.6313559322033898,0.8389830508474576,29
versioned,TimesFM,int_wid90,1.288155578333756,1.27324378490448,0.35164918355482366,0.7316489219665527,2.1074023246765137,29
versioned,TimesFM,int_wid80,1.2087000176824372,1.1902251243591309,0.32968602608868486,0.688400149345398,1.9805201292037964,29
versioned,TimesFM,int_wid70,1.031159442046593,1.0160311460494995,0.2819874804925859,0.5856783390045166,1.6903504133224487,29
versioned,ARIMA,wis,0.35305098849029387,0.3433911617892005,0.1089878524994857,0.18786931793476466,0.6269747539051272,29
versioned,ARIMA,mae,0.4484208612338907,0.4252100047686883,0.14033587535952644,0.22466457437229734,0.8008676307582835,29
versioned,ARIMA,rmse,0.4484208612338907,0.4252100047686883,0.14033587535952644,0.22466457437229734,0.8008676307582835,29
versioned,ARIMA,mse,0.7928407303400966,0.6225273447711972,0.5718798103528411,0.16301948093575577,2.87210094784846,29
versioned,ARIMA,int_cov90,0.9465225014611337,0.9533898305084746,0.03857717492913791,0.8389830508474576,0.9915254237288136,29
versioned,ARIMA,int_cov80,0.9142314436002339,0.9322033898305084,0.05065357472488846,0.7669491525423728,0.9788135593220338,29
versioned,ARIMA,int_cov70,0.8847165400350672,0.9067796610169492,0.06407558001591425,0.673728813559322,0.9576271186440678,29
versioned,ARIMA,int_wid90,3.4937510409328896,3.4754289424450686,1.1953589784230136,1.6664292143557144,5.369037268149104,29
versioned,ARIMA,int_wid80,2.7220793648544626,2.70780410435931,0.9313376856669104,1.298361710448921,4.183167428226604,29
versioned,ARIMA,int_wid70,2.2014361485238476,2.189891270409941,0.7532037728882662,1.0500283129674015,3.383066677160584,29
finalized,TimesFM,wis,0.2211690917611122,0.21291467547416687,0.06554916045705687,0.1172756776213646,0.3233679533004761,29
finalized,TimesFM,mae,0.4026108553697323,0.40923774242401123,0.1149169375058488,0.21390734612941742,0.5961668491363525,29
finalized,TimesFM,rmse,0.4026108526476141,0.40923773118499984,0.11491694214291458,0.2139073146854417,0.5961668510779233,29
finalized,TimesFM,mse,0.543350892847982,0.4693141579627991,0.34266125178905804,0.16739198565483093,1.503478765487671,29
finalized,TimesFM,int_cov90,0.809906487434249,0.809322033898305,0.03848248433962966,0.7372881355932204,0.8940677966101694,29
finalized,TimesFM,int_cov80,0.7925189947399182,0.7966101694915254,0.038126895003128394,0.7330508474576272,0.8686440677966102,29
finalized,TimesFM,int_cov70,0.7185856224430157,0.711864406779661,0.04154020283185123,0.652542372881356,0.8008474576271186,29
finalized,TimesFM,int_wid90,1.292120255272964,1.3352787494659424,0.34022119902469444,0.7449182271957397,2.041614294052124,29
finalized,TimesFM,int_wid80,1.212852336209396,1.2526317834854126,0.31872704231407206,0.7015693783760071,1.9172838926315308,29
finalized,TimesFM,int_wid70,1.034455038350204,1.0648908615112305,0.2721730814530715,0.5971748232841492,1.6350252628326416,29
finalized,ARIMA,wis,0.40560443789204825,0.3906248261793339,0.1286774220593399,0.221433171278299,0.6972601863988932,29
finalized,ARIMA,mae,0.5578926045682487,0.517437645211461,0.1721928639823132,0.30668988629879884,0.9102226773495607,29
finalized,ARIMA,rmse,0.5578926045682487,0.517437645211461,0.1721928639823132,0.30668988629879884,0.9102226773495607,29
finalized,ARIMA,mse,1.152826027288304,0.9250220007465388,0.805618178117426,0.30700954410243925,3.9878884652942146,29
finalized,ARIMA,int_cov90,0.923144360023378,0.9279661016949152,0.02584210186273697,0.8601694915254238,0.9661016949152542,29
finalized,ARIMA,int_cov80,0.8877849210987727,0.8898305084745762,0.030526559444574334,0.8135593220338984,0.9449152542372882,29
finalized,ARIMA,int_cov70,0.8560783167738166,0.864406779661017,0.035060340675456776,0.7584745762711864,0.9194915254237288,29
finalized,ARIMA,int_wid90,3.4916357261798923,3.4813422593882377,1.1977983619111328,1.6864953777815774,5.372372477176165,29
finalized,ARIMA,int_wid80,2.720431263838722,2.712411335338351,0.9332382777177402,1.3139958208229539,4.185765983064561,29
finalized,ARIMA,int_wid70,2.200103274398532,2.1936172913896432,0.7547408449142752,1.0626721381885844,3.3851682149144287,29
